Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Toyota Alphard 3.5A SA C-Package,MPV,2019-05-24,7yrs 11mths 17days COE left),20650,47000,3100,77790,42564,3456,2090,2017,Auto,47503,58505,206,1,193800,2902,95.56666666666666,Toyota
Mercedes-Benz E-Class E200 Coupe AMG Line,Sports Car,2020-01-14,8yrs 7mths 7days COE left),20740,16000,1202,83246,37989,1991,1655,2018,Auto,55963,72734,135,1,215000,3137,103.23333333333333,Mercedes-Benz
Infiniti Q50 2.0T Premium,Luxury Sedan,2016-05-09,4yrs 11mths 2days COE left),11950,123000,1202,47831,49000,1991,1644,2015,Auto,29932,33905,155,3,75800,1792,59.06666666666667,Infiniti
Mercedes-Benz CLA-Class CLA180 AMG Line Sunroof,Luxury Sedan,2018-07-25,7yrs 1mth 18days COE left),14530,41000,740,46415,31001,1595,1430,2018,Auto,32949,38129,90,1,122800,2603,85.6,Mercedes-Benz
Volkswagen Scirocco 1.4A TSI (COE till 06/2025),Sports Car,2010-06-30,4yrs 23days COE left),9000,159044,682,13367,16438,1390,1285,2010,Auto,24363,24363,118,6,36600,1483,48.766666666666666,Volkswagen
Volvo S60 T2,Luxury Sedan,2018-02-08,6yrs 8mths 1day COE left),10710,23000,684,46034,36890,1498,1558,2017,Auto,26098,28538,90,1,85777,2431,80.03333333333333,Volvo
Subaru Forester 2.0i-L EyeSight,SUV,2020-04-06,8yrs 9mths 30days COE left),11950,8500,1208,40944,37989,1995,1591,2019,Auto,16322,16322,115,1,113777,3220,106.0,Subaru
Mitsubishi Lancer 1.6M GLX (COE till 09/2022),Mid-Sized Sedan,2007-10-22,1yr 3mths 24days COE left),8950,216176,1028,5809,22041,1584,1162,2007,Manual,11060,12166,79,3,11800,479,15.8,Mitsubishi
Mercedes-Benz GLA-Class GLA180 Urban Edition,SUV,2020-01-20,8yrs 7mths 13days COE left),13430,19000,740,54359,35320,1595,1435,2019,Auto,28463,31849,90,1,131777,3143,103.43333333333334,Mercedes-Benz
Toyota Harrier 2.0A G-Grade Turbo Panoramic,SUV,2019-11-29,8yrs 5mths 22days COE left),13170,32000,1210,67046,41805,1998,1695,2019,Auto,35785,42099,170,1,132800,3092,101.73333333333333,Toyota
