Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Honda Vezel 1.5A X,SUV,2017-05-22,5yrs 11mths 15days COE left),10020,66755,682,39583,51106,1496,1190,2016,Auto,21551,12172,96,1,65800,2170,71.5,Honda
Mitsubishi Lancer EX 1.5A GLX (COE till 08/2029),Mid-Sized Sedan,2009-08-14,8yrs 2mths 7days COE left),6960,146600,821,24025,29328,1499,1313,2009,Auto,18142,18142,80,3,57000,2987,98.23333333333333,Mitsubishi
Mazda 6 2.0A,Luxury Sedan,2015-10-28,4yrs 4mths 21days COE left),11440,58000,1210,38921,58190,1998,1454,2015,Auto,19071,19071,121,1,59800,1601,52.7,Mazda
Volkswagen Golf 1.0A TSI,Hatchback,2017-12-20,6yrs 6mths 13days COE left),9260,51110,392,34079,42339,999,1257,2017,Auto,18520,8520,81,1,64800,2383,78.43333333333334,Volkswagen
Honda Vezel 1.5A X Honda Sensing,SUV,2016-09-23,5yrs 3mths 16days COE left),9740,45000,682,33134,44958,1496,1190,2016,Auto,21726,12417,96,2,57800,1931,63.53333333333333,Honda
BMW 3 Series 318i Sport,Luxury Sedan,2016-06-02,4yrs 11mths 26days COE left),13720,62000,684,44644,49156,1499,1425,2016,Auto,29816,28743,100,2,82800,1816,59.86666666666667,BMW
Mazda 2 1.5A,Mid-Sized Sedan,2018-05-31,6yrs 11mths 24days COE left),8340,31000,682,29599,37000,1496,1102,2018,Auto,13797,5000,85,2,60800,2544,83.8,Mazda
Honda Stream 1.8A Style Edition (COE till 09/2022),MPV,2007-09-05,1yr 2mths 29days COE left),9470,215000,1369,6277,25178,1799,1350,2007,Auto,16461,18108,103,4,11800,454,14.966666666666667,Honda
Hyundai Avante 1.6A GLS Elite (OPC),Mid-Sized Sedan,2019-07-10,8yrs 1mth 3days COE left),7140,22000,238,22850,11589,1591,1345,2019,Auto,17957,17957,93,1,66800,2953,97.1,Hyundai
Mercedes-Benz E-Class E200,Luxury Sedan,2014-06-23,3yrs 16days COE left),16590,116000,1202,53326,67304,1991,1655,2014,Auto,45353,50495,135,2,75800,1111,36.53333333333333,Mercedes-Benz
BMW 2 Series 216i Gran Tourer,MPV,2018-03-29,6yrs 9mths 22days COE left),12280,58339,684,50071,38000,1499,1480,2017,Auto,28742,32239,75,1,99800,2482,81.73333333333333,BMW
Audi A3 Sportback 1.0A TFSI S-tronic,Hatchback,2017-10-23,6yrs 4mths 16days COE left),12700,38400,392,38280,41761,999,1275,2017,Auto,23936,15511,85,1,88800,2326,76.53333333333333,Audi
Lexus RX Turbo RX200t Luxury Sunroof,SUV,2017-12-29,6yrs 6mths 22days COE left),20310,57576,1210,90158,53711,1998,2070,2017,Auto,56222,73200,175,2,169900,2392,78.73333333333333,Lexus
Toyota Harrier 2.0A G-Grade Turbo Panoramic,SUV,2017-07-26,6yrs 1mth 19days COE left),13880,45000,1210,59537,49802,1998,1695,2017,Auto,33308,38632,170,1,104500,2239,73.63333333333334,Toyota
Mazda 3 1.5A Deluxe,Mid-Sized Sedan,2017-04-18,5yrs 10mths 11days COE left),9320,60000,682,41231,52000,1496,1331,2016,Auto,19306,14306,88,1,61800,2136,70.36666666666666,Mazda
Lexus ES250 Luxury Sunroof,Luxury Sedan,2017-05-03,5yrs 10mths 26days COE left),16280,30000,1792,69070,54406,2494,1615,2016,Auto,40888,49244,135,2,120800,2151,70.86666666666666,Lexus
MINI Cooper S Countryman 1.6A,Sports Car,2012-09-13,1yr 3mths 6days COE left),17560,134400,742,24602,68000,1598,1335,2012,Auto,29047,29047,135,2,36800,461,15.2,MINI
Hyundai Tucson 1.6A GLS DCT Turbo,SUV,2018-12-28,7yrs 6mths 21days COE left),11390,36500,738,41164,31001,1591,1594,2018,Auto,22584,23618,130,1,98000,2756,90.7,Hyundai
MINI One 1.2A 5DR,Hatchback,2016-09-23,5yrs 3mths 16days COE left),12840,48000,508,35906,51506,1198,1175,2016,Auto,21062,11487,75,2,73800,1931,63.53333333333333,MINI
Mercedes-Benz E-Class E250 CGI Cabriolet (COE till 01/2031),Sports Car,2011-05-06,9yrs 7mths 25days COE left),10240,134000,1071,41233,42683,1796,1695,2010,Auto,61615,61615,150,5,98888,3520,115.83333333333333,Mercedes-Benz
Honda Civic 1.5A VTEC Turbo Sunroof,Mid-Sized Sedan,2018-03-23,6yrs 9mths 16days COE left),11770,48000,684,48035,38801,1498,1324,2017,Auto,26392,28949,127,1,94500,2476,81.53333333333333,Honda
Nissan Qashqai 2.0A Premium Moonroof,SUV,2016-05-18,4yrs 11mths 11days COE left),10480,123105,1210,38477,49602,1997,1379,2016,Auto,19906,19906,106,1,61800,1801,59.36666666666667,Nissan
Volkswagen Golf GTI 5DR (COE till 06/2027),Sports Car,2007-07-23,6yrs 24days COE left),8370,215000,1672,32823,54088,1984,1391,2007,Auto,31348,34483,147,4,50800,2214,72.8,Volkswagen
Honda Vezel 1.5A X,SUV,2019-06-04,7yrs 11mths 28days COE left),9530,34209,682,40879,36704,1496,1190,2019,Auto,23834,15368,96,1,83888,2913,95.93333333333334,Honda
Infiniti Q50 2.0T Sport Sunroof,Luxury Sedan,2014-08-06,3yrs 1mth 30days COE left),13500,100000,1202,46631,65001,1991,1644,2014,Auto,34334,40068,155,2,62800,1155,38.0,Infiniti
Audi A4 1.8A TFSI MU Attraction,Luxury Sedan,2015-06-25,4yrs 18days COE left),12570,83000,976,48414,75000,1798,1545,2015,Auto,31248,25748,125,1,63800,1478,48.6,Audi
BMW X4 xDrive20i M-Sport,SUV,2017-02-28,5yrs 8mths 21days COE left),19970,82412,1210,67029,50621,1997,1735,2016,Auto,41920,50688,135,1,139800,2086,68.7,BMW
Skoda Kodiaq 1.4A TSI Sportline,SUV,2021-02-04,9yrs 7mths 28days COE left),15070,2000,624,65250,49500,1395,1706,2020,Auto,30382,34535,110,1,162988,3523,115.93333333333334,Skoda
Mercedes-Benz GLC-Class GLC250 4MATIC,SUV,2016-11-01,5yrs 4mths 25days COE left),20770,88000,1202,70272,56410,1991,1735,2016,Auto,43600,53040,155,1,138800,1970,64.83333333333333,Mercedes-Benz
Audi S3 Sportback 2.0A TFSI Quattro,Sports Car,2018-08-06,7yrs 1mth 30days COE left),22030,33339,1194,64050,31000,1984,1540,2017,Auto,45546,55765,213,2,185800,2615,86.0,Audi
Mercedes-Benz CLA-Class CLA200 AMG Line,Luxury Sedan,2013-11-12,2yrs 5mths 5days COE left),17890,82000,740,32078,76223,1595,1430,2013,Auto,28969,22557,115,2,54800,885,29.166666666666668,Mercedes-Benz
Volkswagen Golf 1.4A TSI,Hatchback,2016-08-25,5yrs 2mths 18days COE left),11210,50256,624,35758,53334,1395,1249,2015,Auto,20402,10563,92,1,63800,1903,62.6,Volkswagen
Toyota Corolla Altis 1.6A Standard,Mid-Sized Sedan,2019-06-28,8yrs 21days COE left),9490,32249,742,35860,26999,1598,1230,2019,Auto,18787,18787,96,1,85888,2941,96.7,Toyota
Toyota Harrier 2.0A M-Grade Turbo,SUV,2019-01-16,7yrs 7mths 9days COE left),13420,23771,1210,49921,31809,1998,1695,2018,Auto,30806,35129,170,1,119800,2774,91.3,Toyota
Chevrolet Cruze 1.6A LS,Mid-Sized Sedan,2016-12-22,5yrs 6mths 15days COE left),7550,58000,742,39976,53334,1598,1413,2016,Auto,13868,13868,86,1,48800,2020,66.5,Chevrolet
Subaru Outback 2.5i-S Sunroof,SUV,2017-07-26,6yrs 1mth 19days COE left),11040,75339,1798,49977,52000,2498,1684,2016,Auto,22954,24136,129,1,79800,2239,73.63333333333334,Subaru
Audi A4 1.4A TFSI S-tronic,Luxury Sedan,2016-11-28,5yrs 5mths 21days COE left),14290,55000,624,49311,53001,1395,1450,2016,Auto,32161,27026,110,1,91800,1996,65.7,Audi
Audi Q3 2.0A TFSI Quattro,SUV,2014-06-26,3yrs 19days COE left),14410,109200,1194,45769,65700,1984,1630,2013,Auto,33955,39537,125,2,63800,1114,36.63333333333333,Audi
BMW X3 sDrive20i,SUV,2015-10-29,4yrs 4mths 22days COE left),15830,130000,1210,54638,61300,1997,1680,2015,Auto,34575,40405,135,2,89800,1602,52.733333333333334,BMW
Kia Cerato 1.6A EX,Mid-Sized Sedan,2018-12-17,7yrs 6mths 10days COE left),9000,55000,738,31891,28457,1591,1287,2018,Auto,13935,13935,93,1,74800,2745,90.33333333333333,Kia
Honda Jazz 1.3A L (COE till 02/2024),Hatchback,2009-03-02,2yrs 8mths 23days COE left),7860,163000,767,7035,12864,1339,1060,2008,Auto,19038,19038,73,2,21500,993,32.766666666666666,Honda
Hyundai i30 Wagon 1.6A Sunroof (COE till 10/2029),Stationwagon,2009-10-14,8yrs 4mths 7days COE left),5960,125000,886,25557,30574,1591,1360,2009,Auto,14667,14667,89,2,49800,3047,100.23333333333333,Hyundai
Citroen C5 Aircross 1.6A PureTech EAT8 Shine,SUV,2020-01-10,8yrs 7mths 3days COE left),11960,2800,742,50042,36000,1598,1430,2019,Auto,23887,25442,133,1,115555,3133,103.1,Citroen
Porsche Cayman 2.7A (COE till 11/2027),Sports Car,2007-11-28,6yrs 5mths 21days COE left),18520,85000,2825,32506,50168,2687,1360,2007,Auto,70785,77864,180,6,120000,2361,77.7,Porsche
Infiniti Q30 1.6T Premium,Hatchback,2018-10-31,7yrs 4mths 24days COE left),11300,55000,740,49177,31801,1595,1390,2018,Auto,30153,34215,115,1,100800,2699,88.8,Infiniti
Honda Fit 1.3A G F-Package,Hatchback,2019-04-30,7yrs 10mths 23days COE left),8480,25727,578,25285,26659,1317,1030,2019,Auto,15628,5628,73,1,69800,2878,94.76666666666667,Honda
Lamborghini Aventador LP700-4,Sports Car,2013-01-03,1yr 6mths 27days COE left),253970,13900,7856,263247,88002,6498,1690,2012,Auto,453424,453424,515,4,626800,572,18.9,Lamborghini
Mercedes-Benz E-Class E250 CGI Coupe (COE till 01/2029),Sports Car,2010-01-26,7yrs 7mths 25days COE left),9530,95500,1169,24003,31335,1796,1575,2009,Auto,57392,57392,150,4,73000,2790,91.83333333333333,Mercedes-Benz
Mercedes-Benz C-Class C180 Coupe,Sports Car,2019-05-24,7yrs 11mths 17days COE left),18280,26000,740,72058,43102,1595,1550,2019,Auto,41636,50291,115,2,170800,2902,95.56666666666666,Mercedes-Benz
Suzuki Swift 1.2A XG (COE till 11/2023),Hatchback,2008-11-25,2yrs 5mths 18days COE left),6810,140000,694,7324,14835,1242,1000,2008,Auto,9483,541,66,1,16800,898,29.6,Suzuki
Mercedes-Benz S-Class S320L,Luxury Sedan,2016-06-03,4yrs 11mths 27days COE left),29230,68000,2382,119248,51010,2996,1940,2015,Auto,89988,133979,200,1,212880,1817,59.9,Mercedes-Benz
Honda Shuttle 1.5A G LED,Stationwagon,2018-06-22,7yrs 15days COE left),9660,34000,682,31096,34110,1496,1190,2017,Auto,19414,9414,97,1,72800,2570,84.5,Honda
BMW X1 sDrive18i,SUV,2019-07-24,8yrs 1mth 17days COE left),13370,45000,684,60164,39400,1499,1430,2019,Auto,35726,42017,103,1,129800,2967,97.56666666666666,BMW
Honda Fit 1.3A GF,Hatchback,2019-10-24,8yrs 4mths 17days COE left),8440,33000,578,31595,32309,1317,1030,2019,Auto,16000,6000,73,1,73800,3057,100.56666666666666,Honda
Hyundai Accent 1.4A,Mid-Sized Sedan,2018-07-30,7yrs 1mth 23days COE left),8050,53000,608,29716,32699,1368,1115,2018,Auto,8445,8445,73,1,61800,2608,85.76666666666667,Hyundai
BMW 5 Series 523i (COE till 09/2030),Luxury Sedan,2010-11-01,9yrs 3mths 24days COE left),8150,149006,1976,32571,34935,2497,1725,2010,Auto,39547,39547,150,3,76000,3399,111.8,BMW
Toyota Vios 1.5A E,Mid-Sized Sedan,2019-07-30,8yrs 1mth 23days COE left),8570,17000,682,32187,26667,1496,1085,2019,Auto,13936,13936,79,1,76800,2973,97.76666666666667,Toyota
Porsche Cayenne S 2.9A,SUV,2019-10-25,8yrs 4mths 18days COE left),44010,8400,2262,183962,48010,2894,2020,2019,Auto,121990,191582,324,1,465000,3058,100.6,Porsche
Chevrolet Cruze 1.6A (COE till 04/2024),Mid-Sized Sedan,2010-02-08,2yrs 10mths 24days COE left),7510,65000,890,7595,13088,1598,1388,2009,Auto,12474,12474,80,3,21800,1054,34.8,Chevrolet
Audi A4 1.4A TFSI S-tronic,Luxury Sedan,2017-03-31,5yrs 9mths 24days COE left),13040,83000,624,49616,51000,1395,1450,2017,Auto,32087,26922,110,2,89300,2119,69.8,Audi
Audi TT Roadster 2.0A TFSI,Sports Car,2013-07-31,2yrs 1mth 24days COE left),21590,49000,1194,57951,76802,1984,1315,2011,Auto,54027,69249,155,3,81000,784,25.8,Audi
Toyota Mark X G (COE till 10/2029),Luxury Sedan,2009-11-06,8yrs 4mths 25days COE left),7110,149000,2158,31533,37502,2499,1500,2009,Auto,30351,30351,158,4,59800,3065,100.83333333333333,Toyota
Mercedes-Benz A-Class Saloon A200 Sport,Luxury Sedan,2019-12-20,8yrs 6mths 13days COE left),13320,25000,586,53241,36000,1332,1385,2019,Auto,27131,29984,120,1,128800,3113,102.43333333333334,Mercedes-Benz
BMW X1 sDrive20i,SUV,2014-05-30,2yrs 11mths 23days COE left),14070,122000,1210,39734,65501,1997,1510,2013,Auto,33364,33710,135,2,58800,1083,35.766666666666666,BMW
Subaru Forester 2.0i-L Sunroof,SUV,2015-09-18,4yrs 3mths 11days COE left),12080,63700,1208,36466,62101,1995,1566,2015,Auto,14080,14080,110,1,58800,1561,51.36666666666667,Subaru
Toyota Sienta 1.5A Standard,MPV,2018-06-25,7yrs 18days COE left),8850,39000,682,39612,37922,1496,1325,2018,Auto,17145,17145,79,1,71000,2573,84.6,Toyota
Toyota Noah 2.0A X,MPV,2017-07-04,6yrs 27days COE left),12850,38400,1196,53994,52000,1986,1570,2017,Auto,27056,29879,112,1,93000,2217,72.9,Toyota
Proton Exora 1.6A M-Line (COE till 06/2029),MPV,2009-09-08,8yrs 24days COE left),6170,128000,890,24084,29839,1597,1422,2009,Auto,14110,14110,93,3,49800,2944,96.8,Proton
Toyota Wish 1.8A X (COE till 08/2024),MPV,2009-08-13,3yrs 2mths 6days COE left),8720,139000,1169,12725,19968,1797,1340,2009,Auto,21663,21663,106,4,27800,1161,38.2,Toyota
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2016-12-02,5yrs 5mths 25days COE left),15070,107200,740,59597,56410,1595,1425,2016,Auto,36548,38168,115,1,101800,2000,65.83333333333333,Mercedes-Benz
Mercedes-Benz A-Class A45 S AMG 4MATIC+ Plus,Sports Car,2020-07-22,9yrs 1mth 15days COE left),24560,6000,1202,108919,35889,1991,1635,2020,Auto,71968,101543,310,1,275000,3330,109.5,Mercedes-Benz
Toyota Corolla Altis 1.6A Standard,Mid-Sized Sedan,2019-07-29,8yrs 1mth 22days COE left),9280,22500,742,35818,26667,1598,1230,2019,Auto,18787,18787,96,2,84988,2972,97.73333333333333,Toyota
Toyota Harrier 2.0A G-Grade Turbo Panoramic,SUV,2017-07-19,6yrs 1mth 12days COE left),14460,71500,1210,59442,49802,1998,1695,2017,Auto,33308,38632,170,1,107800,2232,73.4,Toyota
Mercedes-Benz SLK-Class SLK200 (COE till 11/2030),Sports Car,2011-10-07,9yrs 5mths 24days COE left),12940,120000,974,37975,40014,1796,1470,2011,Auto,54305,54305,135,2,122800,3459,113.8,Mercedes-Benz
Volkswagen Golf Cabriolet 1.4A TSI,Sports Car,2012-07-26,1yr 1mth 19days COE left),16150,98000,620,26326,62600,1390,1503,2012,Auto,34956,34956,118,2,35800,414,13.633333333333333,Volkswagen
Toyota Estima 2.4A Aeras,MPV,2015-03-16,3yrs 9mths 9days COE left),15150,76000,1638,48323,70890,2362,1720,2014,Auto,29406,33169,125,1,73800,1374,45.3,Toyota
Mercedes-Benz GLA-Class GLA180 Urban Edition,SUV,2019-01-25,7yrs 7mths 18days COE left),13340,27000,740,43358,25556,1595,1435,2018,Auto,28410,31774,90,1,117800,2783,91.6,Mercedes-Benz
Hyundai Elantra 1.6A GLS,Mid-Sized Sedan,2018-09-13,7yrs 3mths 6days COE left),8710,56000,738,30158,30209,1591,1345,2018,Auto,10912,10912,93,1,68800,2651,87.2,Hyundai
MINI One 1.2A 5DR,Hatchback,2016-12-12,5yrs 6mths 5days COE left),13550,31600,508,38120,52668,1198,1175,2016,Auto,21484,12078,75,1,80800,2010,66.16666666666667,MINI
Toyota Wish 2.0A (COE till 11/2024),MPV,2009-11-17,3yrs 5mths 10days COE left),8930,145302,1438,13497,19565,1987,1380,2009,Auto,22003,22003,106,3,30800,1255,41.333333333333336,Toyota
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2018-04-30,6yrs 10mths 23days COE left),15610,55000,740,58643,37010,1595,1425,2017,Auto,37239,44135,115,2,129800,2513,82.76666666666667,Mercedes-Benz
Mercedes-Benz GLA-Class GLA180 Urban Edition,SUV,2018-01-12,6yrs 7mths 5days COE left),13560,55000,740,54814,46791,1595,1435,2017,Auto,28494,31892,90,1,105500,2405,79.16666666666667,Mercedes-Benz
Hyundai Elantra 1.6A GLS Elite,Mid-Sized Sedan,2018-08-02,7yrs 1mth 26days COE left),9230,22000,738,31368,28692,1591,1345,2018,Auto,14437,14437,93,1,73300,2611,85.86666666666666,Hyundai
Toyota Vios 1.5A E (COE till 07/2024),Mid-Sized Sedan,2009-07-29,3yrs 1mth 22days COE left),8200,113000,821,9597,15256,1497,1095,2009,Auto,12717,12717,80,3,25800,1147,37.733333333333334,Toyota
Mitsubishi Outlander 2.0A,SUV,2019-04-30,7yrs 10mths 23days COE left),11580,27275,1210,48877,39401,1998,1480,2018,Auto,22614,23660,110,1,103333,2878,94.76666666666667,Mitsubishi
McLaren 720S,Sports Car,2018-03-05,6yrs 8mths 27days COE left),87880,22800,3940,366221,44000,3994,1419,2017,Auto,265539,449971,530,2,818000,2457,80.9,McLaren
Nissan X-Trail 2.0A Premium 7-Seater,SUV,2017-01-03,5yrs 6mths 27days COE left),12020,69000,1210,47662,51109,1997,1626,2016,Auto,23955,25537,106,1,79800,2032,66.9,Nissan
BMW M Series M3 (COE till 04/2029),Sports Car,2009-06-23,7yrs 10mths 24days COE left),20980,80000,4738,27989,35411,3999,1655,2008,Manual,66891,66891,309,6,165800,2879,94.8,BMW
Lexus IS250 (COE till 07/2030),Luxury Sedan,2010-09-29,9yrs 1mth 25days COE left),7840,121000,1980,30735,33568,2500,1625,2010,Auto,38845,38845,153,3,71800,3340,109.83333333333333,Lexus
Mazda 2 HB 1.5A Standard,Hatchback,2017-02-16,5yrs 8mths 9days COE left),8970,88061,682,31618,48401,1496,1036,2016,Auto,15382,5382,85,1,53800,2074,68.3,Mazda
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2014-09-26,3yrs 3mths 19days COE left),16870,160000,740,40914,68689,1595,1425,2014,Auto,32856,27999,115,1,69800,1204,39.63333333333333,Mercedes-Benz
Bentley Mulsanne S 6.75A,Luxury Sedan,2015-09-18,4yrs 3mths 11days COE left),93350,27639,8254,431111,62140,6752,2585,2015,Auto,336575,577835,377,3,688900,1561,51.36666666666667,Bentley
Mitsubishi Attrage 1.2A,Mid-Sized Sedan,2017-11-15,6yrs 5mths 8days COE left),7650,53845,506,34108,47112,1193,940,2017,Auto,13572,5000,59,1,51800,2348,77.26666666666667,Mitsubishi
Kia Sportage 2.0A GT Line,SUV,2017-07-28,6yrs 1mth 21days COE left),10930,71388,1212,49795,50110,1999,1500,2017,Auto,23823,25353,114,1,79800,2241,73.7,Kia
Mitsubishi Eclipse Cross 1.5A,SUV,2018-03-23,6yrs 9mths 16days COE left),10850,64000,684,46103,39000,1499,1490,2017,Auto,24375,26125,120,1,86800,2476,81.53333333333333,Mitsubishi
Volkswagen Golf 1.2A TSI,Hatchback,2015-08-18,4yrs 2mths 11days COE left),9890,71766,508,29228,56209,1197,1229,2015,Auto,18029,8029,77,1,45555,1531,50.36666666666667,Volkswagen
Volvo S60 T4,Luxury Sedan,2013-03-30,1yr 9mths 23days COE left),12650,116000,742,29104,64209,1596,1470,2012,Auto,31981,31774,132,3,38800,658,21.766666666666666,Volvo
MINI Cooper S 1.6A Sunroof (COE till 12/2030),Sports Car,2010-12-21,9yrs 6mths 14days COE left),7840,159000,816,35606,37303,1598,1155,2010,Auto,29274,29274,135,3,74800,3479,114.46666666666667,MINI
Porsche Macan S 3.0A PDK,SUV,2016-01-18,4yrs 7mths 11days COE left),29550,105100,2382,104716,62101,2997,1940,2015,Auto,75897,108615,250,1,190800,1681,55.36666666666667,Porsche
Mercedes-Benz GLA-Class GLA180,SUV,2018-11-23,7yrs 5mths 16days COE left),13720,29745,740,43181,25000,1595,1480,2017,Auto,29057,32680,90,1,118800,2721,89.53333333333333,Mercedes-Benz
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,SUV,2015-12-30,4yrs 6mths 23days COE left),11960,85000,1210,43032,59889,1997,1626,2015,Auto,21714,22400,106,2,65800,1663,54.766666666666666,Nissan
Mercedes-Benz E-Class E250 CGI Cabriolet (COE till 05/2031),Sports Car,2011-06-17,9yrs 11mths 25days COE left),10880,71000,974,49662,49716,1796,1695,2011,Auto,61397,61397,150,2,108700,3640,119.83333333333333,Mercedes-Benz
Toyota Rush 1.5A X (COE till 11/2023),SUV,2008-11-18,2yrs 5mths 11days COE left),8000,119000,887,7267,14835,1495,1150,2008,Auto,16986,16986,80,2,19588,891,29.366666666666667,Toyota
Honda Jazz 1.5A RS,Hatchback,2015-08-05,4yrs 1mth 29days COE left),10540,79000,684,30154,55889,1498,1046,2015,Auto,14828,9828,96,1,48800,1519,49.96666666666667,Honda
Hyundai i30 Wagon 1.6A Sunroof (COE till 09/2024),Stationwagon,2009-09-11,3yrs 3mths 4days COE left),7900,156000,886,9629,14743,1591,1360,2009,Auto,14647,14647,89,3,25800,1189,39.13333333333333,Hyundai
Toyota Vios 1.5A G (OPC),Mid-Sized Sedan,2019-01-28,7yrs 7mths 21days COE left),6790,13500,182,17925,8000,1496,1100,2019,Auto,15741,15741,79,2,59800,2786,91.7,Toyota
Toyota Picnic 2.0A (COE till 01/2029),MPV,2009-02-11,7yrs 7mths 25days COE left),6110,147000,1573,24003,31335,1998,1540,2009,Auto,23511,23511,110,4,46800,2790,91.83333333333333,Toyota
Kia Sportage 2.0A GT Line,SUV,2016-11-28,5yrs 5mths 21days COE left),10520,112000,1212,52000,56206,1999,1500,2016,Auto,25906,28269,114,1,71800,1996,65.7,Kia
Honda Civic 1.6A VTi,Mid-Sized Sedan,2017-06-29,6yrs 22days COE left),10350,63230,742,42642,45201,1597,1249,2017,Auto,20225,20315,92,1,72888,2212,72.73333333333333,Honda
Mercedes-Benz E-Class E200,Luxury Sedan,2014-09-19,3yrs 3mths 12days COE left),16290,100000,1202,54192,65001,1991,1655,2014,Auto,45353,50495,135,1,78800,1197,39.4,Mercedes-Benz
Honda Vezel 1.5A RS,SUV,2017-03-22,5yrs 9mths 15days COE left),9730,55158,682,48047,50789,1496,1210,2016,Auto,23458,24842,96,1,68800,2110,69.5,Honda
Hyundai Veloster 1.6A,Hatchback,2017-05-19,5yrs 11mths 12days COE left),10140,69032,738,43799,52000,1591,1295,2017,Auto,17140,17140,97,1,68888,2167,71.4,Hyundai
Nissan Note 1.2A DIG-S,Hatchback,2015-11-30,4yrs 5mths 23days COE left),12490,101000,508,30051,59200,1198,1081,2015,Auto,13923,5000,72,1,58500,1633,53.766666666666666,Nissan
Toyota C-HR 1.2A Turbo Active,SUV,2018-09-12,7yrs 3mths 5days COE left),9880,30244,508,42895,30209,1197,1385,2018,Auto,25647,27906,85,1,85800,2650,87.16666666666667,Toyota
Renault Clio 1.2A TCe,Hatchback,2017-10-26,6yrs 4mths 19days COE left),9280,57812,508,30339,41617,1197,1090,2016,Auto,14300,5000,87,1,61800,2329,76.63333333333334,Renault
Audi Q2 1.0A TFSI S-tronic,SUV,2018-05-16,6yrs 11mths 9days COE left),11770,55671,392,49224,38389,999,1315,2017,Auto,27220,30108,85,3,96800,2529,83.3,Audi
Toyota Camry 2.0A (COE till 10/2023),Luxury Sedan,2008-12-09,2yrs 4mths 25days COE left),9530,160043,1573,7756,16140,1998,1530,2008,Auto,25518,25518,108,2,22900,875,28.833333333333332,Toyota
BMW 2 Series 218i Gran Coupe Luxury,Luxury Sedan,2020-11-26,9yrs 5mths 19days COE left),13600,9850,684,70274,41101,1499,1375,2020,Auto,35546,41765,103,1,149800,3454,113.63333333333334,BMW
Hyundai Elantra 1.6A Elite,Mid-Sized Sedan,2016-02-23,4yrs 8mths 16days COE left),9360,69012,738,32681,46651,1591,1292,2015,Auto,15245,15245,97,2,51800,1716,56.53333333333333,Hyundai
BMW X5 xDrive35i 7-Seater Sunroof,SUV,2016-06-23,5yrs 16days COE left),21740,61000,2362,108384,57010,2979,2105,2014,Auto,74528,106151,225,1,162800,1841,60.53333333333333,BMW
Honda Stream 1.8A RSZ Sunroof (COE till 08/2023),MPV,2008-08-21,2yrs 2mths 14days COE left),9430,135000,1271,7717,17496,1799,1390,2008,Auto,19639,19639,103,2,20800,804,26.466666666666665,Honda
Toyota Wish 1.8A Elegance,MPV,2016-06-14,5yrs 7days COE left),10800,62125,974,39002,49156,1797,1350,2016,Auto,19088,19088,105,2,63800,1832,60.233333333333334,Toyota
Porsche 911 Carrera S PDK,Sports Car,2016-05-30,4yrs 11mths 23days COE left),59040,53000,2364,184177,49602,2981,1460,2016,Auto,142120,227816,309,1,408000,1813,59.766666666666666,Porsche
Toyota Corolla Altis 1.6A Classic,Mid-Sized Sedan,2016-06-01,4yrs 11mths 25days COE left),10190,78000,742,36033,47020,1598,1205,2016,Auto,17982,17982,90,1,59800,1815,59.833333333333336,Toyota
Mazda 2 1.5A Deluxe,Mid-Sized Sedan,2018-05-23,6yrs 11mths 16days COE left),8990,51600,682,31284,37000,1496,1102,2018,Auto,17355,7355,85,1,66300,2536,83.53333333333333,Mazda
Honda Vezel 1.5A X,SUV,2016-07-18,5yrs 1mth 11days COE left),10160,60000,682,36235,53694,1496,1190,2015,Auto,21209,11693,96,1,57800,1866,61.36666666666667,Honda
BMW 3 Series 320i M-Sport,Luxury Sedan,2019-10-17,8yrs 4mths 10days COE left),18020,24490,1210,78198,41361,1998,1460,2019,Auto,47229,58121,135,1,179800,3050,100.33333333333333,BMW
BMW 3 Series 325i Convertible (COE till 04/2029),Sports Car,2010-06-08,7yrs 10mths 24days COE left),8570,102000,1976,27989,35411,2497,1685,2010,Auto,47402,47402,160,6,67700,2879,94.8,BMW
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2019-11-22,8yrs 5mths 15days COE left),15670,16000,740,66069,37000,1595,1490,2019,Auto,38805,46327,115,1,155800,3085,101.5,Mercedes-Benz
Toyota Noah Hybrid 1.8A X,MPV,2021-05-27,9yrs 11mths 20days COE left),12460,18,974,64143,47001,1797,1610,2021,Auto,32865,23011,100,1,135800,3635,119.66666666666667,Toyota
Nissan Qashqai 1.2A DIG-T,SUV,2017-11-16,6yrs 5mths 9days COE left),10300,76000,508,41434,47112,1197,1325,2017,Auto,19750,14750,85,1,73800,2349,77.3,Nissan
Honda Vezel 1.5A X,SUV,2019-04-12,7yrs 10mths 5days COE left),9670,25000,682,33035,29159,1496,1190,2018,Auto,22513,13519,96,1,82700,2860,94.16666666666667,Honda
Toyota Camry 2.4A (COE till 01/2029),Luxury Sedan,2009-01-05,7yrs 6mths 29days COE left),7220,110000,2129,23772,31335,2362,1540,2008,Auto,27382,27382,123,2,54800,2764,90.96666666666667,Toyota
